Kitap Adı,Yazar,Puan,Türler,Çevirmen,Okunma Sayısı,Begeni Sayısı,Bkmkitap,Kitapyurdu,Erkek,Kadın,Tahmini Okuma Süresi,Sayfa Sayısı,Basım Tarihi,İlk Yayın Tarihi,Yayınevi,Editör,Tasarımcı,Derleyen,Çizer
Dünün Dünyası,Stefan Zweig,8.9,"['Biyografi', 'Edebiyat', 'Anı-Mektup-Günlük', 'Deneme-İnceleme']",Yadigar Eğit,2192,679,175.5,145.0,50.1,49.9,857,504,2019,1942,Can Yayınları,,,,
Kumların Kadını,Kobo Abe,7.8,"['Edebiyat', 'Roman']",Barış Bayıksel,2188,506,70.0,108.2,21.799999999999997,78.2,313,184,2017,1991,Monokl Yayınları,,,,
Sır: Aşıklar Ölmez,Fatih Duman,9.2,"['Edebiyat', 'Roman']",,2187,607,110.5,110.5,12.200000000000003,87.8,354,208,2015,0,Nesil Yayınları,,,,
Yasak Sevişmek,Attila İlhan,7.8,"['Edebiyat', 'Şiir']",,2186,402,10.4,,44.3,55.7,206,121,2020,0,İş Bankası Kültür Yayınları,,,,
Gecenin Hikayesi Aşeka ,N. G. Kabal,9.0,"['Roman', 'Fantastik', 'Edebiyat']",,2185,636,167.4,120.2,2.5,97.5,870,512,2019,0, Ephesus Yayınları,,,,
Bir Köpeğin Araştırmaları,Franz Kafka,7.0,"['Edebiyat', 'Hikaye (Öykü)']",Pınar Eren,2185,301,130.0,13.0,35.3,64.7,406,239,2017,0,Öteki Yayınları,,,,
Baba Evi,Orhan Kemal,8.0,"['Anı-Mektup-Günlük', 'Edebiyat', 'Roman']",,2184,359,38.35,30.36,40.0,60.0,165,97,2008,1949,Everest Yayınları,,,,
Tersyüz,Amy Harmon,8.4,"['Aşk', 'Edebiyat', 'Gençlik', 'Roman']",Arzu Altınanıt,2185,602,105.0,132.3,4.700000000000003,95.3,639,376,2017,2014,Yabancı Yayınları,,Şükrü Karakoç,,
Medarı Maişet Motoru,Sait Faik Abasıyanık,7.7,"['Roman', 'Edebiyat']",,2183,426,9.1,9.1,50.6,49.4,328,193,2020,1940,Türkiye İş Bankası Kültür Yayınları,,,,
Bir Delinin Anıları,Gustave Flaubert,7.8,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Ayberk Erkay,2183,482,51.0,13.75,38.0,62.0,170,100,2022,1838,Sel Yayıncılık,Işık Ergüden,,,
Hain Yüreğim,Wulf Dorn,8.4,"['Roman', 'Edebiyat']",Regaip Minareci,2184,593,220.0,220.1,13.700000000000003,86.3,653,384,2015,2012,Pegasus Yayınları,,,,
Otuzundaki Kadın,Honore de Balzac,7.5,"['Dünya Klasikleri', 'Edebiyat', 'Roman']",Cemil Meriç,2181,443,66.75,91.99,25.299999999999997,74.7,367,216,2017,0,İletişim Yayınları,,,,
"""Tezer Özlüden Leyla Erbile Mektuplar""",Tezer Özlü,8.3,"['Edebiyat', 'Anı-Mektup-Günlük']",,2180,457,45.5,44.28,25.799999999999997,74.2,122,72,2022,2017,Yapı Kredi Yayınları,,,,
Doğmuş Olmanın Sakıncası Üstüne,Emil Michel Cioran,8.4,"['Deneme-İnceleme', 'Felsefe-Düşünce']",Kenan Sarıalioğlu,2180,560,123.2,114.16,42.7,57.3,337,198,2019,1998,Metis Yayıncılık,,Emine Bora,,
Kırılmadık Bir Şey Kalmadı,Özdemir Asaf,8.5,"['Deneme-İnceleme', 'Edebiyat', 'Felsefe-Düşünce', 'İnsan ve Toplum']",,2175,643,247.0,228.2,33.5,66.5,993,584,2017,0,Yapı Kredi Yayınları,,,,
Metro 2033,Dmitry Glukhovsky,8.2,"['Bilim-Kurgu', 'Edebiyat', 'Korku-Gerilim', 'Roman']",Deniz Banoğlu,2173,713,227.5,227.5,76.4,23.599999999999994,966,568,2010,0,Gürer Yayınları,,,,
Güneşi Söndürmem Gerek 3,Emre Gül,8.2,"['Roman', 'Aşk', 'Edebiyat', 'Gençlik']",,2173,534,167.4,223.2,2.700000000000003,97.3,762,448,2020,0,Ephesus Yayınları,,,,
Dört,Veronica Roth,8.0,"['Roman', 'Fantastik', 'Edebiyat']",Uğur Merter,2170,400,71.5,79.2,10.200000000000003,89.8,476,280,2016,2014,Artemis Yayınları,,,,
Solgun Karanfil,Sinan Akyüz,7.8,"['Aşk', 'Edebiyat', 'Roman']",,2168,460,126.75,132.41,11.099999999999994,88.9,694,408,2018,0,Alfa Yayıncılık,,,,
Bitmeyecek Öykü,Michael Ende,8.5,"['Edebiyat', 'Fantastik', 'Gençlik', 'Roman']",Saadet Özkal,2166,663,164.45,135.2,21.400000000000006,78.6,869,511,2009,1996,Kabalcı Yayınevi,,,,
Platon Bir Gün Kolunda Bir Ornitorenkle Bara Girer,Thomas Cathcart,8.1,"['Eğlence-Mizah', 'Felsefe-Düşünce', 'Edebiyat']",Algan Sezgintüredi,2166,550,108.24,91.87,40.9,59.1,340,200,2012,0,Aylak Kitap,,,,
Hastalar Risalesi,Bediüzzaman Said Nursî,9.7,"['Din (İslam)', 'Tasavvuf-Mezhepler-Tarikatlar']",,2165,538,12.06,20.3,39.8,60.2,245,144,2013,2003,Söz Basım Yayın,,,,
Sitem,Ahmed Günbay Yıldız,8.2,"['Roman', 'Edebiyat']",,2164,325,133.0,133.0,22.700000000000003,77.3,423,249,2021,1978,Timaş Yayınları,,,,
Tol,Murat Uyurkulak,7.4,"['Edebiyat', 'Roman']",,2163,427,19.25,25.5,43.9,56.1,449,264,2013,0,Metis Yayınevi,,,,
Kastamonu Lahikası,Bediüzzaman Said Nursî,9.7,['Din (İslam)'],,2163,532,214.4,208.0,46.0,54.0,918,540,2009,2005,Söz Basım Yayın,,,,
Örümcek Ağı,Agatha Christie,7.8,"['Roman', 'Polisiye', 'Edebiyat']",Çiğdem Öztekin,2164,433,137.06,113.53,26.299999999999997,73.7,326,192,2018,1954,Altın Kitaplar,,,,
Bunun Adı Findel,Brian Selznick,8.7,"['Hikaye (Öykü)', 'Çocuk', 'Edebiyat']",Mine Kazmaoğlu,2162,518,112.0,48.02,23.799999999999997,76.2,190,112,2021,1996,Günışığı Kitaplığı,,,,
Gece Yarısı Güneşi,Stephenie Meyer,8.2,"['Aşk', 'Edebiyat', 'Roman']",Tuba Özkat,2162,569,267.0,210.19,6.5,93.5,1210,712,2020,2008,Epsilon Yayınları,,,,
Her İnsan Gördüğü Rüyanın Tabiridir - Sigmund Freud,Yılmaz Şener,7.6,"['Araştırma-İnceleme', 'Biyografi', 'Felsefe-Düşünce', 'Psikoloji']","Derleyen: \nYılmaz Şener, Tasarımcı: \nTuğba Sarıünal",2160,417,63.0,,31.400000000000006,68.6,122,72,2020,0,Destek Yayınları,,Tuğba Sarıünal,Yılmaz Şener,
Keşfedilmemiş Benlik,Carl Gustav Jung,8.1,"['Felsefe-Düşünce', 'Psikoloji']",Canan Ener,2159,572,,,46.2,53.8,190,112,2013,1961,Barış İlhan Yayınevi / Psikoloji Dizisi,,,,
Kujo,Stephen King,8.2,"['Roman', 'Edebiyat', 'Korku-Gerilim']",Oya Çakır,2158,516,78.0,138.85,41.6,58.4,435,256,2022,1982,Altın Kitaplar,,,,
"""Kaptan Grantın Çocukları""",Jules Verne,8.4,"['Çocuk', 'Dünya Klasikleri', 'Edebiyat', 'Roman']",,2158,409,9.9,34.38,42.3,57.7,204,120,2012,1866,Gonca Yayınları,,,,
Hayat Teselli Bulmaktır,Kemal Sayar,8.5,"['Psikoloji', 'Deneme-İnceleme', 'İnsan ve Toplum']",,2156,541,78.1,77.85,18.5,81.5,245,144,2021,0,Timaş Yayınları,,,,
Tehanu,Ursula K. Le Guin,8.5,"['Roman', 'Fantastik', 'Edebiyat']",Çiğdem Erkal,2153,522,134.4,122.98,33.900000000000006,66.1,367,216,2017,2004,Metis Yayınları,,,,
Pis Moruğun Notları,Charles Bukowski,8.0,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat', 'Deneme-İnceleme', 'Yeraltı Edebiyatı']",Avi Pardo,2151,516,55.25,96.0,65.6,34.400000000000006,299,176,2018,1969,Parantez Yayınları,,,,
Gökçen,Loresima,8.8,"['Roman', 'Aşk', 'Edebiyat']",,2157,502,206.64,,1.5,98.5,898,528,2023,0,Ephesus Yayınları,,,,
"""Bayan Mingin Hiç Olmayan On Çocuğu""",Eric Emmanuel Schmitt,8.2,"['Roman', 'Edebiyat']",Yaşar İlksavaş,2151,531,69.42,58.95,13.900000000000006,86.1,122,72,2020,2012,Doğan Kitap,,Geray Gençer,,
Rubailer,Mevlana Celaleddin-i Rumi,8.4,"['Edebiyat', 'Şiir', 'Tasavvuf-Mezhepler-Tarikatlar']",Hasan Ali Yücel,2148,501,6.5,19.8,45.9,54.1,187,110,2007,1968,Türkiye İş Bankası Kültür Yayınları,,,,
Masal Terapi,Judith Malika Liberman,8.4,"['Kişisel Gelişim', 'İnsan ve Toplum']",İstem Erdener,2148,529,168.0,138.92,15.200000000000003,84.8,490,288,2019,2015,Doğan Novus,,,,
"Sen Bana Bakma, Ben Senin Baktığın Yönde Olurum",Özdemir Asaf,9.1,"['Edebiyat', 'Şiir']",,2149,4,31.68,,30.099999999999994,69.9,204,120,2019,0,Yapı Kredi Yayınları,,,,
Güvercin,Patrick Süskind,7.6,"['Hikaye (Öykü)', 'Edebiyat']",Tevfik Turan,2147,444,78.0,64.55,35.3,64.7,163,96,2018,2011,Can Yayınları,,,,
Aile Çay Bahçesi,Yekta Kopan,7.7,"['Edebiyat', 'Roman']",,2146,441,126.75,103.68,18.5,81.5,245,144,2018,2013,Can Yayınları,,,,
Miskinler Tekkesi,Reşat Nuri Güntekin,7.5,"['Edebiyat', 'Roman', 'Türk Klasikleri']",,2145,362,136.8,,34.599999999999994,65.4,354,208,2010,1982,İnkılap Kitabevi,,,,
Kaybolmuş Ruhlar Sarayı-1,Dilara Keskin,8.6,"['Roman', 'Fantastik', 'Aşk', 'Edebiyat', 'Gençlik']",,2144,522,185.4,220.94,2.5,97.5,653,384,2022,0,Ephesus Yayınları,Elif Evin Musluoğlu,,,
Gece Yarısından Sonra,Tess Gerritsen,8.0,"['Roman', 'Polisiye', 'Edebiyat']",Özlem Gültekin,2144,423,152.1,153.56,17.0,83.0,571,336,2014,1988,Martı Yayınevi,,,,
Kendini Arayan Kadın,Halit Ertuğrul,8.7,"['Anı-Mektup-Günlük', 'Deneme-İnceleme', 'Din (İslam)', 'Edebiyat', 'Roman']",,2143,345,56.0,91.0,15.799999999999997,84.2,258,152,2019,2004,Nesil Yayınları,Nesrin Çaylı,,,
Yıldırım Sesli Manasçı - Asker Çocuğu - Beyaz Yağmur,Cengiz Aytmatov,7.9,"['Edebiyat', 'Hikaye (Öykü)']",Refik Özdek,2143,444,31.5,33.93,43.1,56.9,102,60,2018,1997,Ötüken Neşriyat,,,,
Cennetin Dibi,Gündüz Vassaf,8.0,"['Deneme-İnceleme', 'Edebiyat', 'Felsefe-Düşünce']",,2140,496,156.0,142.55,44.6,55.4,427,251,2019,1996,İletişim Yayınları,,,,
Zindan Hatıraları,Zeynep Gazali,9.2,"['Biyografi', 'Siyaset-Politika', 'Din (İslam)']",H. Hüseyingil,2140,356,20.88,,19.400000000000006,80.6,434,255,2017,2001,Madve Yayınları,,,,
Kısa Öykünün Büyük Ustaları,Kolektif,7.1,"['Hikaye (Öykü)', 'Edebiyat', 'Antoloji']",Celal Üster,2140,421,25.2,32.55,33.7,66.3,326,192,2019,0,Türkiye İş Bankası Kültür Yayınları,Gamze Varım,,Celal Üster,
Öylesine Bir Hikaye,Anton Çehov,7.4,"['Dünya Klasikleri', 'Edebiyat', 'Hikaye (Öykü)']",Nihal Yalaza Taluy,2137,357,55.25,48.58,29.700000000000003,70.3,136,80,2020,0,Can Yayınları,,,,
Büyük Sorulara Kısa Yanıtlar,Stephen W. Hawking,8.7,['Bilim-Teknoloji-Mühendislik'],Mehmet Ata Arslan,2135,597,113.75,110.25,57.6,42.4,340,200,2018,0,Alfa Yayıncılık,,,,
Bir Deliyle Evlendim,Hekimoğlu İsmail,8.1,"['Edebiyat', 'Roman']",,2135,421,87.5,87.5,25.5,74.5,272,160,2017,2007,Timaş Yayınları,,,,
Bütün Güzel Çocuklar Şüpheli,Umay Umay,7.5,"['Edebiyat', 'Şiir']",,2131,451,63.0,20.8,24.5,75.5,177,104,2017,0,Altıkırkbeş Yayınları,,,,
Kadınlar,Eduardo Galeano,8.3,"['Deneme-İnceleme', 'Edebiyat', 'İnsan ve Toplum', 'Kadın']",Süleyman Doğru,2131,590,75.0,152.0,22.400000000000006,77.6,335,197,2020,0,Sel Yayıncılık,,,,
Bir Cihan Kafes,İclal Aydın,8.6,"['Edebiyat', 'Roman']",,2129,552,146.25,141.75,6.599999999999994,93.4,578,340,2020,0,Artemis Yayınları,,,,
Geceye Övgüler,Novalis,7.4,"['Edebiyat', 'Şiir', 'Anlatı']",Ahmet Cemal,2128,399,36.4,34.1,40.9,59.1,71,42,2021,1800,Türkiye İş Bankası Kültür Yayınları,,,,
Gün Doğmadan,Sezai Karakoç,9.1,"['Edebiyat', 'Şiir']",,2127,618,136.8,240.0,38.4,61.6,1166,686,2023,2003,Diriliş Yayınları,,,,
Çocuk Yetiştirme Ahlakı,Muhammed Emin Yıldırım,9.4,['Din (İslam)'],,2121,588,63.9,63.0,10.299999999999997,89.7,354,208,2020,0,Siyer Yayınları,,,,
Aşk Hikayesi,İskender Pala,8.7,"['Roman', 'Edebiyat']",,2122,481,110.25,,15.599999999999994,84.4,462,272,2023,0,Kapı Yayınları,,,,
Gölgeye Övgü,Cuniçiro Tanizaki,6.9,"['Edebiyat', 'Deneme-İnceleme']",Burcu Erol,2117,306,56.0,50.4,20.599999999999994,79.4,122,72,2022,0,İthaki Yayınları,,,,
Bir Kayıp Denizci,Gabriel Garcia Marquez,8.0,"['Anlatı', 'Edebiyat']",İsmail Yerguz,2114,467,100.75,13.83,41.0,59.0,190,112,2019,1989,Can Yayınları,,Ayşe Çelem,,
