Kitap Adı,Yazar,Puan,Türler,Çevirmen,Okunma Sayısı,Begeni Sayısı,Bkmkitap,Kitapyurdu,Erkek,Kadın,Tahmini Okuma Süresi,Sayfa Sayısı,Basım Tarihi,İlk Yayın Tarihi,Yayınevi,Editör,Tasarımcı,Derleyen,Çizer
Martı,Anton Çehov,7.3,"['Dünya Klasikleri', 'Edebiyat', 'Tiyatro', 'Senaryo-Oyun']",Ataol Behramoğlu,20900,3294,28.6,26.35,28.799999999999997,71.2,160,94,2016,1895,İş Bankası Kültür Yayınları,,,,
Utopia,Thomas More,8.2,"['Dünya Klasikleri', 'Siyaset-Politika', 'Felsefe-Düşünce', 'İnsan ve Toplum']",Sabahattin Eyüboğlu,20900,4377,41.6,34.88,43.2,56.8,423,249,2020,1516,Türkiye İş Bankası Kültür Yayınları,Alkan İnal,,,
Dr. Jekyll ile Bay Hyde,Robert Louis Stevenson,8.0,"['Dünya Klasikleri', 'Fantastik', 'Bilim-Kurgu', 'Edebiyat', 'Korku-Gerilim', 'Novella']",Celal Üster,20800,4590,24.7,23.25,31.099999999999994,68.9,177,104,2015,1886,İş Bankası Kültür Yayınları,,,,
Karantina: Mahşerin Dört Atlısının Hikayesi,Beyza Alkoç,7.5,"['Edebiyat', 'Roman']",,20700,5400,173.4,179.25,7.099999999999994,92.9,762,448,2016,0,İndigo Kitap,,,,
Veba,Albert Camus,8.0,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Nedret Tanyolaç Öztokat,20600,4563,144.0,163.2,46.5,53.5,515,303,2020,1947,Can Yayınları,,,,
"""Babilde Ölüm İstanbulda Aşk""",İskender Pala,8.1,"['Edebiyat', 'Roman', 'Tarih']",,20600,3759,178.75,189.75,32.0,68.0,707,416,2004,2003,Kapı Yayınları,,Utku Lomlu,,
"""Ferrarisini Satan Bilge""",Robin Sharma,8.0,"['Felsefe-Düşünce', 'Kişisel Gelişim', 'İnsan ve Toplum']",Filiz Gülerkaya,20400,3725,164.45,157.49,33.900000000000006,66.1,391,230,2012,1996,Pegasus Yayınları,,,,
Posta Kutusundaki Mızıka,A. Ali Ural,8.3,"['Deneme-İnceleme', 'Edebiyat']",,20200,5300,123.5,123.5,15.299999999999997,84.7,350,206,2020,2007,Şule Yayınları,Mehmet Öğütçü,Yasin Çetin,,
Zacharius Usta,Jules Verne,7.2,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat']",Alev Özgüner,20200,3509,19.5,18.6,35.599999999999994,64.4,83,49,2021,1854,Türkiye İş Bankası Kültür Yayınları,,,,
Bir Kuzey Macerası,Jack London,7.1,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat']",Levent Cinemre,20200,3279,16.9,20.15,33.400000000000006,66.6,95,56,2021,1900,Türkiye İş Bankası Kültür Yayınları,,,,
İnce Memed 3,Yaşar Kemal,9.1,"['Roman', 'Edebiyat']",,20100,5100,,,42.5,57.5,1069,629,2023,1991,Yapı Kredi Yayınları,,,,
Seksen Günde Dünya Gezisi,Jules Verne,8.5,"['Dünya Klasikleri', 'Edebiyat', 'Roman']",Bertan Onaran,20100,3311,26.0,44.95,40.1,59.9,462,272,2021,1872,Türkiye İş Bankası Kültür Yayınları,Gamze Varım,,,
Rahel Tanrı’yla Hesaplaşıyor,Stefan Zweig,8.1,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat', 'Diğer İnançlar']",Gülperi Sert,20100,4143,20.8,24.8,30.400000000000006,69.6,119,70,2021,1930,Türkiye İş Bankası Kültür Yayınları,,,,
Dijital Kale,Dan Brown,8.4,"['Polisiye', 'Edebiyat', 'Roman']",Sezer Soner,20000,3938,274.89,269.18,41.4,58.6,680,400,2010,0,Altın Kitaplar,,,,
Kuşlar Yasına Gider,Hasan Ali Toptaş,7.8,"['Edebiyat', 'Roman']",,20000,4695,62.7,115.2,21.700000000000003,78.3,422,248,2019,0,Everest Yayınları,,,,
Adı: Aylin,Ayşe Kulin,8.1,"['Biyografi', 'Edebiyat', 'Roman']",,19900,3318,191.75,185.85,11.299999999999997,88.7,677,398,2019,1999,Everest Yayınları,,,,
Alaycı Kuş,Suzanne Collins,8.4,"['Roman', 'Fantastik', 'Bilim-Kurgu', 'Edebiyat', 'Macera-Aksiyon']",Taylan Taftaf,19800,2980,218.4,211.68,18.799999999999997,81.2,762,448,2020,2010,Dex Kitap,,,,
Yılanı Öldürseler,Yaşar Kemal,8.2,"['Roman', 'Edebiyat']",,19800,4061,55.25,51.2,33.599999999999994,66.4,173,102,2020,1979,Yapı Kredi Yayınları,,,,
"""Doktor Oxun Deneyi""",Jules Verne,7.1,"['Roman', 'Dünya Klasikleri', 'Bilim-Kurgu', 'Edebiyat']",Alev Özgüner,19600,3078,20.8,23.25,32.8,67.2,163,96,2021,1872,İş Bankası Kültür Yayınları,,,,
Ikigai - Japonların Uzun ve Mutlu Yaşam Sırrı,Hector Garcia,7.6,"['Araştırma-İnceleme', 'Kişisel Gelişim', 'İnsan ve Toplum']",Meltem Uzun,19500,3823,84.0,24.48,20.700000000000003,79.3,299,176,2020,2017,İndigo  Kitap,Nil Tuna,Yasin Öksüz,,
Eroinle Dans,Canan Tan,8.0,"['Roman', 'Edebiyat']",,19400,2644,214.5,181.91,13.5,86.5,680,400,2012,2005,Altın Kitaplar,,,,
Köpek Kalbi,Mihail Bulgakov,7.7,"['Dünya Klasikleri', 'Edebiyat', 'Novella']",Mustafa Kemal Yılmaz,19400,3897,24.7,24.8,32.900000000000006,67.1,224,132,2019,0,Türkiye İş Bankası Kültür Yayınları,,,,
Fi,Akilah Azra Kohen,7.5,"['Roman', 'Edebiyat']",,19400,4064,48.0,220.0,21.299999999999997,78.7,1020,600,2014,2013,Destek Yayınları,,,,
Sis ve Gece,Ahmet Ümit,8.1,"['Polisiye', 'Edebiyat', 'Roman']",,19400,3156,24.9,33.0,30.599999999999994,69.4,459,270,2013,0,Everest Yayınları,,,,
"""Ademden Önce""",Jack London,8.1,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Levent Cinemre,19400,3845,28.6,31.0,38.1,61.9,272,160,2019,1906,Türkiye İş Bankası Kültür Yayınları,,,,
İskender,Elif Şafak,8.1,"['Edebiyat', 'Roman']",Omca Korugan,19300,2963,257.4,218.3,20.5,79.5,762,448,2011,0,Doğan Kitap,,,,
Sevme Sanatı,Erich Fromm,8.5,"['İnsan ve Toplum', 'Psikoloji']",Ayşe Türkmen,19200,4530,93.75,90.0,26.599999999999994,73.4,218,128,2012,1956,Altın Post Yayıncılık,,,,
Diriliş Neslinin Amentüsü,Sezai Karakoç,9.0,"['Din (İslam)', 'Felsefe-Düşünce', 'Deneme-İnceleme', 'Tasavvuf-Mezhepler-Tarikatlar']",,19100,4899,34.2,33.75,27.299999999999997,72.7,116,68,2022,1975,Diriliş Yayınları,,,,
Yüzüklerin Efendisi - Yüzük Kardeşliği,J. R. R. Tolkien,9.3,"['Roman', 'Fantastik', 'Edebiyat', 'Macera-Aksiyon']",Çiğdem Erkal,19100,6100,272.0,248.4,53.4,46.6,884,520,2023,1954,Metis Yayıncılık,,,,
Aşkın Gözyaşları 1 - Tebrizli Şems,Sinan Yağmur,8.4,"['Biyografi', 'Edebiyat', 'Roman', 'Tasavvuf-Mezhepler-Tarikatlar']",,19100,3455,120.25,127.65,30.700000000000003,69.3,408,240,2016,2010,Kapı Yayınları,,,,
Ezilenler,Fyodor Dostoyevski,8.6,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Nihal Yalaza Taluy,19100,4646,65.0,58.13,39.6,60.4,670,394,2022,1861,Türkiye İş Bankası Kültür Yayınları,,,,
Sinekli Bakkal,Halide Edib Adıvar,8.1,"['Roman', 'Edebiyat', 'Türk Klasikleri']",,19000,2963,150.0,167.45,31.0,69.0,808,475,2022,1935,Can Yayınları,,,,
Üvercinka,Cemal Süreya,7.4,"['Edebiyat', 'Şiir']",,18900,3311,78.0,63.9,31.200000000000003,68.8,109,64,2018,1958,Yapı Kredi Yayınları,,,,
Yedi Güzel Adam,Cahit Zarifoğlu,7.9,"['Edebiyat', 'Şiir']",,18800,4552,84.0,69.3,28.299999999999997,71.7,231,136,2023,1973,Beyan Yayıncılık,,,,
Konstantiniyye Oteli,Zülfü Livaneli,7.6,"['Roman', 'Edebiyat']",,18700,3651,39.82,165.75,30.900000000000006,69.1,816,480,2020,2015,Doğan Kitap,,,,
Madalyonun İçi,Gülseren Budayıcıoğlu,8.3,"['Anı-Mektup-Günlük', 'Edebiyat', 'İnsan ve Toplum', 'Psikoloji']",,18500,4438,198.8,209.3,14.0,86.0,651,383,2020,2020,Remzi Kitabevi,Yasemin Aktaş,Ömer Erduran,,
Yağmur Sonrası,Sarah Jio,8.6,"['Roman', 'Aşk', 'Edebiyat']",Duygu Parsadan,18400,3728,,,10.0,90.0,590,347,2013,0,Arkadya Yayınları,,,,
Görmek,José Saramago,7.4,"['Roman', 'Edebiyat']",Işık Ergüden,18400,3783,182.0,178.75,35.8,64.2,551,324,2022,2004,Kırmızı Kedi Yayınları,,,,
Aşk-ı Memnu,Halid Ziya Uşaklıgil,8.0,"['Aşk', 'Edebiyat', 'Roman', 'Türk Klasikleri']",,18400,2796,12.0,10.06,19.799999999999997,80.2,680,400,2016,1899,Yakamoz Yayınları,,,,
Bir Genç Kızın Gizli Defteri,İpek Ongun,8.1,"['Edebiyat', 'Gençlik', 'Roman']",,18400,2264,191.75,122.85,1.7999999999999972,98.2,551,324,2013,1998,Artemis Yayınları,,,,
Meczup,Halil Cibran,7.1,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Felsefe-Düşünce', 'Edebiyat']",Kenan Sarıalioğlu,18300,3141,23.4,16.25,30.299999999999997,69.7,87,51,2021,1918,Türkiye İş Bankası Kültür Yayınları,,,,
Kamelyalı Kadın,Alexandre Dumas (fils),8.4,"['Aşk', 'Dünya Klasikleri', 'Edebiyat', 'Roman']",Tahsin Yücel,18200,3958,31.68,47.13,20.400000000000006,79.6,398,234,2019,1848,Türkiye İş Bankası Kültür Yayınları,,,,
Kiralık Konak,Yakup Kadri Karaosmanoğlu,7.9,"['Roman', 'Edebiyat', 'Türk Klasikleri']",,18200,2498,144.0,175.95,23.200000000000003,76.8,394,232,2023,1970,İletişim Yayınları,Bahriye Çeri,Fatoş Gencosman,,
Gül Yetiştiren Adam,Rasim Özdenören,8.0,"['Roman', 'Edebiyat']",,18100,3845,112.0,111.7,24.099999999999994,75.9,258,152,2021,1985,İz Yayıncılık,,,,
Kuyrukluyıldız Altında Bir İzdivaç,Hüseyin Rahmi Gürpınar,7.8,"['Roman', 'Edebiyat', 'Türk Klasikleri']",,18000,3488,32.5,24.8,23.599999999999994,76.4,258,152,2021,1912,Türkiye İş Bankası Kültür Yayınları,,,,
3391 Kilometre,Beyza Alkoç,8.0,"['Aşk', 'Edebiyat', 'Gençlik', 'Roman']",,18000,4462,173.4,,6.299999999999997,93.7,802,472,2018,2018,İndigo Kitap,,,,
Diriliş,Lev Tolstoy,8.5,"['Roman', 'Dünya Klasikleri', 'Edebiyat', 'İnsan ve Toplum']",Ayşe Hacıhasanoğlu,17800,4112,104.0,74.4,45.8,54.2,1083,637,2021,1899,Türkiye İş Bankası Kültür Yayınları,,,,
Kayıp Sembol,Dan Brown,8.4,"['Roman', 'Polisiye', 'Edebiyat']",Petek Demir,17800,3380,338.8,267.96,39.4,60.6,898,528,2009,0,Altin Kitaplar,,,,
Çocuk Kalbi,Edmondo De Amicis,8.3,"['Çocuk', 'Edebiyat', 'Roman']",Meryem Mine Çilingiroğlu,17700,3180,45.5,44.95,24.5,75.5,558,328,2021,1886,Türkiye İş Bankası Kültür Yayınları,Nevin Avan Özdemir,,,
Kaşağı,Ömer Seyfettin,8.0,"['Çocuk', 'Edebiyat', 'Hikaye (Öykü)', 'Türk Klasikleri']",,17600,1910,31.5,4.45,29.099999999999994,70.9,163,96,2017,1918,Timaş Çocuk,,,,
Bir Bilim Adamının Romanı: Mustafa İnan,Oğuz Atay,8.6,"['Biyografi', 'Edebiyat', 'Roman']",,17400,3937,176.0,154.33,37.8,62.2,481,283,2020,1975,İletişim Yayınları,,Ümit Kıvanç,,
Yeniay,Stephenie Meyer,7.9,"['Aşk', 'Edebiyat', 'Fantastik', 'Korku-Gerilim', 'Macera-Aksiyon', 'Roman']",Öncü Saraç Tüzüner,17400,2077,190.8,188.81,11.200000000000003,88.8,748,440,2017,2006,Epsilon Yayınları,Ayşe Tunca,,,
Bir Yaz Gecesi Rüyası,William Shakespeare,7.6,"['Dünya Klasikleri', 'Edebiyat', 'Tiyatro', 'Senaryo-Oyun']",Özdemir Nutku,17400,2954,23.4,24.8,25.5,74.5,167,98,2023,1595,Türkiye İş Bankası Kültür Yayınları,,,,
"""Amak-ı Hayal""",Filibeli Ahmed Hilmi,8.8,"['Roman', 'Felsefe-Düşünce', 'Edebiyat', 'Türk Klasikleri']",Ahmet Gürtaş,17300,4467,25.2,8.22,34.8,65.2,326,192,2011,1910,Pozitif Yayınları,,,,
Şimdiki Çocuklar Harika,Aziz Nesin,8.7,"['Roman', 'Eğlence-Mizah', 'Çocuk', 'Edebiyat']",,17200,3573,94.9,78.0,29.099999999999994,70.9,381,224,2019,1967,Nesin Yayınevi,,,,Semih Poroy
Kral Kaybederse,Gülseren Budayıcıoğlu,8.6,"['Edebiyat', 'Psikoloji', 'Roman']",,17200,4374,196.0,209.3,14.700000000000003,85.3,653,384,2015,0,Remzi Kitabevi,,,,
Gör Beni,Akilah Azra Kohen,8.6,"['Roman', 'Edebiyat']",,17100,5500,281.25,236.25,20.299999999999997,79.7,1006,592,2020,2019,Everest Yayınları,Funda Acar,Emir Tali,,
Bir Kalbin Çöküşü,Stefan Zweig,7.9,"['Edebiyat', 'Hikaye (Öykü)']",Esen Tezel,17000,2710,42.25,35.53,28.700000000000003,71.3,95,56,2018,0,Can Yayınları,,,,
Yüreğinin Götürdüğü Yere Git,Susanna Tamaro,8.2,"['Roman', 'Edebiyat']",Eren Yücesan Cendey,17000,3212,130.0,97.7,15.299999999999997,84.7,258,152,2020,1994,Can Yayınları,,,,
Oliver Twist,Charles Dickens,8.1,"['Dünya Klasikleri', 'Edebiyat', 'Roman']",Nihal Yeğinobalı,16900,2661,3.78,7.25,36.9,63.1,979,576,2018,1838,Can Yayınları,,Ayşe Çelem,,
Huzur,Ahmet Hamdi Tanpınar,8.4,"['Edebiyat', 'Roman', 'Türk Klasikleri']",,16900,4022,127.5,221.0,34.8,65.2,706,415,2019,0,Dergah Yayınları,,,,
Çocukluğun Soğuk Geceleri,Tezer Özlü,7.4,"['Biyografi', 'Edebiyat', 'Roman']",,16800,3015,45.5,42.55,23.099999999999994,76.9,114,67,2018,1980,Yapı Kredi Yayınları,,,,
Engereğin Gözü,Zülfü Livaneli,8.1,"['Roman', 'Edebiyat']",,16600,3381,23.89,19.0,31.700000000000003,68.3,286,168,2019,1996,Doğan Kitap,,,,
Kavim,Ahmet Ümit,8.6,"['Roman', 'Polisiye', 'Edebiyat']",,16600,3354,28.75,53.82,33.900000000000006,66.1,680,400,2019,2010,Everest Yayınları,,,,
Elveda Gülsarı,Cengiz Aytmatov,8.5,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Refik Özdek,16600,3566,66.5,71.63,33.099999999999994,66.9,381,224,2020,1966,Ötüken Neşriyat,,,,
Benim Adım Kırmızı,Orhan Pamuk,8.2,"['Roman', 'Polisiye', 'Edebiyat']",,16600,3351,247.0,228.2,38.1,61.9,884,520,2023,1998,Yapı Kredi Yayınları,,,,
Leylim Leylim,Ahmed Arif,8.7,"['Anı-Mektup-Günlük', 'Edebiyat']",,16500,4254,104.0,112.0,27.599999999999994,72.4,352,207,2013,0,Türkiye İş Bankası Kültür Yayınları,,,,
"""Havvanın Üç Kızı""",Elif Şafak,7.4,"['Edebiyat', 'Kadın', 'Roman']",,16500,2907,257.4,218.08,16.099999999999994,83.9,721,424,2016,0,Doğan Kitap,,,,
Şair Evlenmesi,İbrahim Şinasi,7.2,"['Edebiyat', 'Tiyatro', 'Senaryo-Oyun', 'Türk Klasikleri']",,16500,2173,18.0,20.63,28.599999999999994,71.4,99,58,2022,1860,Türkiye İş Bankası Kültür Yayınları,,,,
Zorba,Nikos Kazancakis,7.9,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Ahmet Angın,16500,4321,236.6,,43.4,56.6,592,348,2020,1946,Can Yayınları,,Ayşe Çelem,,
Şafak Vakti,Stephenie Meyer,8.2,"['Aşk', 'Edebiyat', 'Fantastik', 'Korku-Gerilim', 'Macera-Aksiyon', 'Roman']",Demet Adıgüzel,16400,1958,248.4,245.81,11.799999999999997,88.2,1006,592,2017,0,Epsilon Yayınları,Ayşe Tunca,,,
İnce Memed 4,Yaşar Kemal,9.2,"['Roman', 'Edebiyat']",,16300,4394,195.0,179.06,46.1,53.9,1086,639,2021,2004,Yapı Kredi Yayınları,,Tamer Erdoğan,,
Vişne Bahçesi,Anton Çehov,6.7,"['Dünya Klasikleri', 'Edebiyat', 'Tiyatro', 'Senaryo-Oyun']",Ataol Behramoğlu,16300,2392,26.0,29.25,23.5,76.5,177,104,2016,1904,Türkiye İş Bankası Kültür Yayınları,,,,
Karantina: Mahşerin Dört Atlısının Hikayesi — İkinci Perde,Beyza Alkoç,7.6,"['Edebiyat', 'Roman']",,16300,3432,173.4,88.66,5.299999999999997,94.7,598,352,2017,0,İndigo Kitap,,,,
Tutulma,Stephenie Meyer,7.9,"['Aşk', 'Edebiyat', 'Fantastik', 'Macera-Aksiyon', 'Roman']",Eren Abaka,16300,1938,212.4,210.19,13.5,86.5,920,541,2016,2007,Epsilon Yayınları,Ayşe Tunca,,,
Nasıl Ölünür,Emile Zola,7.3,"['Dünya Klasikleri', 'Edebiyat', 'Hikaye (Öykü)']",Aysel Bora,16300,2496,48.75,42.78,25.700000000000003,74.3,82,48,2020,1876,Can Yayınları,,,,
Osmancık,Tarık Buğra,8.3,"['Roman', 'Tarih', 'Edebiyat']",,16200,10,136.5,153.4,30.700000000000003,69.3,639,376,2023,1982,Ötüken Neşriyat,,,,
Kendime Düşünceler,Marcus Aurelius,8.3,"['Tarih', 'Felsefe-Düşünce', 'Edebiyat', 'İnsan ve Toplum']",Yunus Emre Ceren,16200,3872,32.5,27.9,43.5,56.5,224,132,2024,180,İş Bankası Yayınları,Koray Karasulu,,,
Gençlerle Başbaşa,Ali Fuad Başgil,8.7,"['Eğitim', 'Gençlik']",,16200,3500,22.5,23.3,36.4,63.6,136,80,2021,1949,Yağmur Yayınları,,,,
Çocukluğum,Maksim Gorki,8.3,"['Biyografi', 'Dünya Klasikleri', 'Edebiyat', 'Anlatı']",Mazlum Beyhan,16100,3509,40.3,48.05,33.8,66.2,479,282,2014,1913,İş Bankası Kültür Yayınları,,,,
"""Algernona Çiçekler""",Daniel Keyes,8.9,"['Bilim-Kurgu', 'Dünya Klasikleri', 'Edebiyat', 'Gençlik', 'Roman']",Handan Haktanır,16100,4563,106.4,94.26,20.799999999999997,79.2,553,325,2015,1994,Koridor Yayıncılık,Zübeyde Abat,Tuğçe Ekmekçi,,
Huzur Sokağı,Şule Yüksel Şenler,7.3,"['Roman', 'Din (İslam)', 'Edebiyat']",,16100,2798,213.0,210.2,17.900000000000006,82.1,938,552,2021,1971,Timaş Yayınları,,,,
"""Cengiz Hana Küsen Bulut""",Cengiz Aytmatov,8.5,"['Roman', 'Dünya Klasikleri', 'Tarih', 'Edebiyat']",Refik Özdek,16000,3533,42.0,52.78,40.2,59.8,190,112,2023,1990,Ötüken Neşriyat,,,,
Deli Kurt,Hüseyin Nihal Atsız,8.9,"['Edebiyat', 'Roman']",,16000,4012,119.0,32.0,48.4,51.6,408,240,2020,0,Ötüken Neşriyat,,,,
Baba ve Piç,Elif Şafak,7.6,"['Edebiyat', 'Roman']",Aslı Biçen,15900,2466,234.0,198.45,22.700000000000003,77.3,711,418,2012,2006,Doğan Kitap,,,,
Leyla ile Mecnun,Burak Aksak,8.7,"['Edebiyat', 'Roman']",,15800,4636,63.75,106.38,35.7,64.3,462,272,2018,0,Küsurat Yayınları,,,,
Ruhi Mücerret,Murat Menteş,8.3,"['Roman', 'Edebiyat', 'Macera-Aksiyon']",,15700,3627,146.25,146.45,33.5,66.5,541,318,2013,0,April Yayıncılık,,,,
Yeşilin Kızı Anne,L. M. Montgomery,8.5,"['Roman', 'Dünya Klasikleri']",Filiz Çakır,15600,4579,101.5,14.19,7.0,93.0,694,408,2020,1908,Koridor Yayınları,,,,
Düşüş,Albert Camus,8.1,"['Roman', 'Edebiyat']",Hüseyin Demirhan,15600,3426,66.0,70.2,45.9,54.1,177,104,2019,1956,Can Yayınları,,,,
Dublörün Dilemması,Murat Menteş,8.5,"['Edebiyat', 'Roman']",,15500,3659,191.75,192.05,37.8,62.2,447,263,2005,0,İletişim Yayınevi,,,,
İnsan Nedir?,Mark Twain,8.2,"['Felsefe-Düşünce', 'Psikoloji', 'Edebiyat', 'Deneme-İnceleme', 'İnsan ve Toplum']",Gamze Keskin,15500,3687,56.8,52.0,40.2,59.8,231,136,2018,1906,Dedalus Kitap,Nilay Ormanlı,,,
Fesleğen,Hikmet Anıl Öztekin,8.1,"['Aşk', 'Edebiyat', 'Roman']",,15300,3905,133.0,,17.0,83.0,367,216,2017,0,Hayy Kitap,Caner Yaman,,,
Goriot Baba,Honore de Balzac,8.0,"['Dünya Klasikleri', 'Edebiyat', 'Roman']",Tahsin Yücel,15300,2929,13.0,6.08,43.4,56.6,517,304,2017,1835,Can Yayınları,,,,
Çi,Akilah Azra Kohen,7.8,"['Roman', 'Edebiyat']",,15200,3059,168.75,175.5,19.400000000000006,80.6,544,320,2014,0,Destek Yayınları,,,,
Morgue Sokağı Cinayeti,Edgar Allan Poe,7.2,"['Dünya Klasikleri', 'Edebiyat', 'Hikaye (Öykü)', 'Polisiye']",Memet Fuat,15200,2506,67.5,90.0,27.400000000000006,72.6,241,142,2019,1841,Notos Kitap,,,,
İki Dirhem Bir Çekirdek,İskender Pala,8.1,"['Araştırma-İnceleme', 'Deneme-İnceleme', 'Edebiyat', 'Eğitim', 'Hikaye (Öykü)']",,15200,2416,96.85,102.81,35.2,64.8,360,212,2020,2002,Kapı Yayınları,,Utku Lomlu,,
Prens,Niccolo Machiavelli,7.9,"['Siyaset-Politika', 'Felsefe-Düşünce', 'İnsan ve Toplum']",Leyla Tonguç Basmacı,15200,2975,63.0,9.1,59.9,40.1,218,128,2019,1513,Remzi Kitabevi,,,,
Demir Ökçe,Jack London,8.3,"['Roman', 'Dünya Klasikleri', 'Siyaset-Politika', 'Edebiyat', 'İnsan ve Toplum']",Levent Cinemre,15100,3583,52.0,35.65,50.6,49.4,544,320,2019,1908,İş Bankası Kültür Yayınları,,,,
Yûsuf ile Züleyha,Nazan Bekiroğlu,8.5,"['Roman', 'Aşk', 'Din (İslam)', 'Edebiyat']",,15100,13,140.0,140.2,17.900000000000006,82.1,381,224,2021,2000,Timaş Yayınları,,,,
Kızıl Nehirler,Jean-Christophe Grangé,8.7,"['Roman', 'Polisiye', 'Edebiyat', 'Korku-Gerilim', 'Macera-Aksiyon']",Tankut Gökçe,15100,21,218.4,185.09,34.900000000000006,65.1,558,328,2021,1998,Doğan Kitap,,,,
Sherlock Holmes - Kızıl Dosya,Arthur Conan Doyle,8.4,"['Edebiyat', 'Polisiye', 'Roman']",Leyla Deniz Yordam,15100,3038,65.0,8.97,41.7,58.3,352,207,2017,1887,Ren Yayınları,,,,
Ölüler Evinden Anılar,Fyodor Dostoyevski,8.1,"['Roman', 'Dünya Klasikleri', 'Edebiyat', 'Yeraltı Edebiyatı']",Nihal Yalaza Taluy,15000,3201,58.5,60.45,47.4,52.6,639,376,2019,1969,Türkiye İş Bankası Kültür Yayınları,Alkan İnal,,,
Ermişin Bahçesi,Halil Cibran,7.5,"['Roman', 'Dünya Klasikleri', 'Felsefe-Düşünce', 'Edebiyat']",Kenan Sarıalioğlu,15000,2574,18.2,15.5,27.799999999999997,72.2,87,51,2021,1989,İş Bankası Kültür Yayınları,,,,
Gözlerini Sımsıkı Kapat,John Verdon,8.4,"['Roman', 'Polisiye', 'Edebiyat']",Ender Nail,15000,2881,133.0,123.69,28.099999999999994,71.9,962,566,2012,2011,Koridor Yayıncılık,,,,
Pia Mater,Serkan Karaismailoğlu,8.7,"['Edebiyat', 'Psikoloji', 'Roman', 'Sağlık-Tıp']",,14900,4515,174.3,183.64,21.099999999999994,78.9,721,424,2019,0,Elma Yayınevi,,,,
Hayatın Mucizeleri,Stefan Zweig,7.3,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat', 'Diğer İnançlar']",Gülperi Sert,14800,2303,22.1,18.6,26.799999999999997,73.2,126,74,2022,1904,İş Bankası Kültür Yayınları,Gamze Varım,,,
Kar,Orhan Pamuk,8.0,"['Roman', 'Edebiyat']",,14800,2852,208.0,184.8,43.5,56.5,782,460,2021,2002,Yapı Kredi Yayınları,,,,
Bozkurtlar,Hüseyin Nihal Atsız,9.4,"['Roman', 'Tarih', 'Edebiyat']",,14800,4483,196.0,59.0,52.1,47.9,993,584,2020,1973,Ötüken Neşriyat,Göktürk Ömer Çakır,Zafer Yılmaz,,
Büyük Umutlar,Charles Dickens,8.5,"['Dünya Klasikleri', 'Edebiyat', 'Roman']",Nihal Yeğinobalı,14700,3549,9.0,11.53,33.400000000000006,66.6,1115,656,2017,1861,Can Yayınları,,,,
Her Şey Seninle Başlar,Mümin Sekman,8.0,"['Kişisel Gelişim', 'İnsan ve Toplum']",,14700,2745,114.73,94.1,29.599999999999994,70.4,408,240,2021,0,Alfa Yayıncılık,,Emrah Yücel,,
Afrikalı Leo,Amin Maalouf,8.0,"['Biyografi', 'Roman', 'Tarih', 'Edebiyat']",Sevim Raşa,14700,3027,130.0,90.85,36.2,63.8,636,374,2022,1986,Yapı Kredi Yayınları,Esra Özdoğan,Nahide Dikel,,
Efsane,İskender Pala,8.5,"['Aşk', 'Edebiyat', 'Roman', 'Tarih']",,14600,3021,161.85,171.81,40.2,59.8,666,392,2020,2017,Kapı Yayınları,,Utku Lomlu,,
Aşk Köpekliktir,Ahmet Ümit,7.4,"['Aşk', 'Edebiyat', 'Hikaye (Öykü)']",,14600,2165,5.96,120.2,25.400000000000006,74.6,323,190,2012,2004,Everest Yayınları,,,,
Sana Gül Bahçesi Vadetmedim,Joanne Greenberg,7.9,"['Roman', 'Psikoloji', 'Edebiyat']",Nesrin Kasap,14600,3301,182.4,165.2,14.900000000000006,85.1,498,293,2021,1989,Metis Yayınları,,,,
Hacı Murat,Lev Tolstoy,7.7,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Mazlum Beyhan,14600,2426,6.0,9.9,54.5,45.5,281,165,2019,1912,Türkiye İş Bankası Kültür Yayınları,,,,
Frankenstein Ya Da Modern Prometheus,Mary Shelley,8.4,"['Roman', 'Dünya Klasikleri', 'Bilim-Kurgu', 'Edebiyat', 'Korku-Gerilim']",Yiğit Yavuz,14500,3395,54.6,50.88,24.900000000000006,75.1,462,272,2020,1818,Türkiye İş Bankası Kültür Yayınları,,,,
Veda,Ayşe Kulin,8.4,"['Roman', 'Tarih', 'Edebiyat']",,14500,2510,178.75,175.2,21.0,79.0,663,390,2023,2007,Everest Yayınları,,,,
Gömülü Şamdan,Stefan Zweig,7.3,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat', 'Novella']",Regaip Minareci,14500,2449,27.3,27.9,30.099999999999994,69.9,187,110,2022,1936,Türkiye İş Bankası Kültür Yayınları,,,,
