,Kitap Adı,Yazar,Puan,Türler,Datamix,Satici,Fiyat,MaxOkurCinsiyet,MaxOkurYüzde,Çevirmen
1911,"['Sevmek, Sevinmek, İyi Şeyler Üstüne']",['Yaşar Kemal'],"['8.7/10', '3.033', '679']","['Deneme-İnceleme', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 3 sa. 17 dk.', 'Sayfa Sayısı: 116', 'Basım Tarihi: Eylül 2018', 'Yayınevi: Yapı Kredi Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺52,00', '₺49,80']",['Kadın'],['% 68.5'],['Yazar: \nYaşar Kemal']
1912,['Erik Ağacı'],['Ellen Marie Wiseman'],"['8.8/10', '3.031', '916']","['Edebiyat', ',', 'Roman']","['Tahmini Okuma Süresi: 14 sa. 30 dk.', 'Sayfa Sayısı: 512', 'Basım Tarihi: Ekim 2016', 'Yayınevi: Arkadya Yayınları', 'Orijinal Adı: The Plum Tree']","['Bkmkitap', 'Kitapyurdu']","['₺94,50', '₺141,95']",['Kadın'],['% 92.0'],"['Yazar: \nEllen Marie Wiseman', 'Çevirmen: \nDilek Parsadan']"
1913,['Gençlik Rehberi'],['Bediüzzaman Said Nursî'],"['9.5/10', '3.029', '808']",['Din (İslam)'],"['Tahmini Okuma Süresi: 10 sa. 12 dk.', 'Sayfa Sayısı: 360', 'Basım Tarihi: Ocak 2014', 'İlk Yayın Tarihi: Ocak 2024', 'Yayınevi: Söz Basım Yayın']",['Bkmkitap'],"['₺25,35']",['Kadın'],['% 54.8'],['Yazar: \nBediüzzaman Said Nursî']
1914,['Psikoanalist'],['John Katzenbach'],"['8.2/10', '3.023', '696']","['Roman', ',', 'Polisiye', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 13 sa. 55 dk.', 'Sayfa Sayısı: 491', 'Basım Tarihi: 2010', 'İlk Yayın Tarihi: 2002', 'Yayınevi: Koridor Yayıncılık', 'Orijinal Adı: The Analyst']","['Bkmkitap', 'Kitapyurdu']","['₺126,00', '₺115,48']",['Kadın'],['% 66.7'],"['Yazar: \nJohn Katzenbach', 'Çevirmen: \nİpek İbik']"
1915,['Papatya Kokulu Hikayeler'],['Ender Haluk Derince'],"['7.7/10', '3.016', '522']","['Edebiyat', ',', 'Hikaye (Öykü)']","['Tahmini Okuma Süresi: 9 sa. 58 dk.', 'Sayfa Sayısı: 352', 'Basım Tarihi: Mayıs 2014', 'Yayınevi: Yakamoz Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺48,00', '₺20,70']",['Kadın'],['% 93.6'],['Yazar: \nEnder Haluk Derince']
1916,['Zavallı Çocuk'],['Namık Kemal'],"['7.7/10', '3.013', '479']","['Edebiyat', ',', 'Tiyatro', ',', 'Türk Klasikleri']","['Tahmini Okuma Süresi: 1 sa. 49 dk.', 'Sayfa Sayısı: 64', 'Basım Tarihi: Ağustos 2015', 'İlk Yayın Tarihi: 1873', 'Yayınevi: Sis Yayıncılık']","['Bkmkitap', 'Kitapyurdu']","['₺2,87', '₺18,60']",['Kadın'],['% 72.6'],['Yazar: \nNamık Kemal']
1917,['Böyle Bir Sevmek'],['Attila İlhan'],"['8.2/10', '3.010', '497']","['Edebiyat', ',', 'Şiir']","['Tahmini Okuma Süresi: 4 sa. 46 dk.', 'Sayfa Sayısı: 168', 'Basım Tarihi: Mayıs 2017', 'Yayınevi: İş Bankası Kültür Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺94,90', '₺10,40']",['Kadın'],['% 63.3'],['Yazar: \nAttila İlhan']
1918,['Benliğini Arayan Çocuk'],['Virginia M. Axline'],"['9.1/10', '3.010', '840']","['Aile (Kadın, Erkek ve Çocuk)', ',', 'Edebiyat', ',', 'Psikoloji', ',', 'Roman']","['Tahmini Okuma Süresi: 7 sa. 36 dk.', 'Sayfa Sayısı: 268', 'Basım Tarihi: Ekim 2018', 'İlk Yayın Tarihi: 1986', 'Yayınevi: Panama Yayınları', 'Orijinal Adı: Dibs in Search of Self']","['Bkmkitap', 'Kitapyurdu']","['₺104,00', '₺104,00']",['Kadın'],['% 90.7'],"['Yazar: \nVirginia M. Axline', 'Çevirmen: \nMisli Baydoğan', 'Tasarımcı: \nLeyla Çelik']"
1919,"[""Hz. Muhammed'in Hayatı""]",['Martin Lings'],"['8.7/10', '3.007', '715']","['Araştırma-İnceleme', ',', 'Din (İslam)']","['Tahmini Okuma Süresi: 10 sa. 38 dk.', 'Sayfa Sayısı: 375', 'Basım Tarihi: Ocak 2017', 'İlk Yayın Tarihi: 1983', 'Yayınevi: İnsan Yayınları', 'Orijinal Adı: Muhammad: His Life Based on the Earliest Sources']","['Bkmkitap', 'Kitapyurdu']","['₺59,90', '₺125,13']",['Kadın'],['% 55.7'],"['Yazar: \nMartin Lings', 'Çevirmen: \nNazife Şişman', 'Tasarımcı: \nHarun Tan']"
1920,"['Kitap', 'Kitap bulunamadı']",[],[],[],[],[],[],[],[],[]
